Rawfilenumber	Sample	Protease	run	replicate
EH3847	24	Ct	run1	2
EH3848	24	Ct	run1	3
EH3850	25	Ct	run1	1
EH3851	25	Ct	run1	2
EH3852	25	Ct	run1	3
EH3856	26	Ct	run1	1
EH3857	26	Ct	run1	2
EH3858	26	Ct	run1	3
EH3862	27	Ct	run1	1
EH3863	27	Ct	run1	2
EH3864	27	Ct	run1	3
EH3868	28	Ct	run1	1
EH3869	28	Ct	run1	2
EH3870	28	Ct	run1	3
EH3874	29	Ct	run1	1
EH3875	29	Ct	run1	2
EH3876	29	Ct	run1	3
EH3880	30	Ct	run1	1
EH3881	30	Ct	run1	2
EH3882	30	Ct	run1	3
EH3886	31	Ct	run1	1
EH3887	31	Ct	run1	2
EH3888	31	Ct	run1	3
EH3892	32	Ct	run1	1
EH3893	32	Ct	run1	2
EH3894	32	Ct	run1	3
EH3898	33	Ct	run1	1
EH3899	33	Ct	run1	2
EH3900	33	Ct	run1	3
EH3904	34	Ct	run1	1
EH3905	34	Ct	run1	2
EH3906	34	Ct	run1	3
EH3910	35	Ct	run1	1
EH3911	35	Ct	run1	2
EH3912	35	Ct	run1	3
EH3916	36	Ct	run1	1
EH3917	36	Ct	run1	2
EH3918	36	Ct	run1	3
EH3919	37	Ct	run1	1
EH3920	37	Ct	run1	2
EH3921	37	Ct	run1	3
EH3922	38	Ct	run1	1
EH3923	38	Ct	run1	2
EH3924	38	Ct	run1	3
EH3925	39	Ct	run1	1
EH3926	39	Ct	run1	2
EH3927	39	Ct	run1	3
EH3931	40	Ct	run1	1
EH3932	40	Ct	run1	2
EH3933	40	Ct	run1	3
EH3934	41	Ct	run1	1
EH3935	41	Ct	run1	2
EH3936	41	Ct	run1	3
EH3937	42	Ct	run1	1
EH3938	42	Ct	run1	2
EH3939	42	Ct	run1	3
EH3940	43	Ct	run1	1
EH3941	43	Ct	run1	2
EH3942	43	Ct	run1	3
EH3946	44	Ct	run1	1
EH3947	44	Ct	run1	2
EH3948	44	Ct	run1	3
EH3949	45	Ct	run1	1
EH3950	45	Ct	run1	2
EH3951	45	Ct	run1	3
EH3952	46	Ct	run1	1
EH3953	46	Ct	run1	2
EH3954	46	Ct	run1	3
