Rawfilenumber	Sample	Protease	run	replicate
EH3928	blank	Ct	run1	NA
EH3929	blank	Ct	run1	NA
EH3930	blank	Ct	run1	NA
EH3931	40	Ct	run1	1
EH3932	40	Ct	run1	2
EH3933	40	Ct	run1	3
EH3934	41	Ct	run1	1
EH3935	41	Ct	run1	2
EH3936	41	Ct	run1	3
EH3937	42	Ct	run1	1
EH3938	42	Ct	run1	2
EH3939	42	Ct	run1	3
EH3940	43	Ct	run1	1
EH3941	43	Ct	run1	2
EH3942	43	Ct	run1	3
EH3943	blank	Ct	run1	NA
EH3944	blank	Ct	run1	NA
EH3945	blank	Ct	run1	NA
EH3946	44	Ct	run1	1
EH3947	44	Ct	run1	2
EH3948	44	Ct	run1	3
EH3949	45	Ct	run1	1
EH3950	45	Ct	run1	2
EH3951	45	Ct	run1	3
EH3952	46	Ct	run1	1
EH3953	46	Ct	run1	2
EH3954	46	Ct	run1	3
EH3955	47	Ct	run1	1
EH3956	47	Ct	run1	2
EH3957	47	Ct	run1	3
EH3958	blank	Ct	run1	NA
EH3959	blank	Ct	run1	NA
EH3960	blank	Ct	run1	NA
EH3961	48	Ct	run1	1
EH3962	48	Ct	run1	2
EH3963	48	Ct	run1	3
EH3964	blank	Ct	run1	NA
EH3965	blank	Ct	run1	NA
EH3966	blank	Ct	run1	NA
EH3967	49	Ct	run1	1
EH3968	49	Ct	run1	2
EH3969	49	Ct	run1	3
EH3970	blank	Ct	run1	NA
EH3971	blank	Ct	run1	NA
EH3972	blank	Ct	run1	NA
EH3973	50	Ct	run1	1
EH3974	50	Ct	run1	2
EH3975	50	Ct	run1	3
EH3976	blank	Ct	run1	NA
EH3977	blank	Ct	run1	NA
EH3978	blank	Ct	run1	NA
EH3979	51	Ct	run1	1
EH3980	51	Ct	run1	2
EH3981	51	Ct	run1	3
EH3982	blank	Ct	run1	NA
EH3983	blank	Ct	run1	NA
EH3984	blank	Ct	run1	NA
EH3985	52	Ct	run1	1
EH3986	52	Ct	run1	2
EH3987	52	Ct	run1	3
EH3988	blank	Ct	run1	NA
EH3989	blank	Ct	run1	NA
EH3990	blank	Ct	run1	NA
EH3991	53	Ct	run1	1
EH3992	53	Ct	run1	2
EH3993	53	Ct	run1	3
EH3994	blank	Ct	run1	NA
EH3995	blank	Ct	run1	NA
EH3996	blank	Ct	run1	NA
EH3997	54	Ct	run1	1
EH3998	54	Ct	run1	2
EH3999	54	Ct	run1	3
EH4000	blank	Ct	run1	NA
EH4001	blank	Ct	run1	NA
EH4002	blank	Ct	run1	NA
EH4003	55	Ct	run1	1
EH4004	55	Ct	run1	2
EH4005	55	Ct	run1	3
EH4006	56	Ct	run1	1
EH4007	56	Ct	run1	2
EH4008	56	Ct	run1	3
EH4009	57	Ct	run1	1
EH4010	57	Ct	run1	2
EH4011	57	Ct	run1	3
EH4012	58	Ct	run1	1
